file_a,file_b,cochange_count,jaccard
docs/sccp/README.md,roadmap.md,2,1.000000
node/chain_spec/src/bytes/chain_spec_test.json,node/chain_spec/src/lib.rs,2,0.181818
node/chain_spec/src/lib.rs,pallets/xor-fee/src/mock.rs,2,0.105263
node/chain_spec/src/lib.rs,runtime/src/lib.rs,7,0.134615
pallets/xor-fee/src/mock.rs,pallets/xor-fee/src/tests.rs,2,0.181818
pallets/xor-fee/src/mock.rs,runtime/src/lib.rs,7,0.137255
pallets/eth-bridge/src/lib.rs,pallets/eth-bridge/src/tests/incoming_transfer.rs,2,0.666667
pallets/eth-bridge/src/lib.rs,pallets/eth-bridge/src/tests/mock.rs,2,0.333333
pallets/eth-bridge/src/lib.rs,pallets/xor-fee/src/lib.rs,2,0.166667
pallets/eth-bridge/src/lib.rs,runtime/src/lib.rs,3,0.062500
pallets/eth-bridge/src/tests/incoming_transfer.rs,pallets/eth-bridge/src/tests/mock.rs,2,0.400000
pallets/eth-bridge/src/tests/incoming_transfer.rs,pallets/xor-fee/src/lib.rs,2,0.181818
pallets/eth-bridge/src/tests/mock.rs,pallets/xor-fee/src/lib.rs,2,0.142857
pallets/eth-bridge/src/tests/mock.rs,pallets/xor-fee/src/mock.rs,4,0.363636
pallets/xor-fee/src/lib.rs,pallets/xor-fee/src/mock.rs,6,0.400000
pallets/xor-fee/src/lib.rs,runtime/src/lib.rs,8,0.156863
pallets/xor-fee/src/lib.rs,runtime/src/tests/xor_fee.rs,7,0.411765
pallets/xor-fee/src/mock.rs,runtime/src/tests/xor_fee.rs,6,0.352941
runtime/src/lib.rs,runtime/src/tests/xor_fee.rs,9,0.173077
pallets/demeter-farming-platform/src/lib.rs,pallets/demeter-farming-platform/src/tests.rs,2,0.666667
pallets/denomination/src/lib.rs,pallets/xor-fee/src/lib.rs,2,0.181818
common/src/traits.rs,pallets/multicollateral-bonding-curve-pool/src/lib.rs,2,0.400000
common/src/traits.rs,pallets/order-book/src/lib.rs,2,0.333333
common/src/traits.rs,pallets/pool-xyk/src/lib.rs,2,0.333333
pallets/bridge-proxy/src/lib.rs,pallets/eth-bridge/src/lib.rs,2,0.666667
pallets/kensetsu/src/lib.rs,pallets/xor-fee/src/lib.rs,2,0.117647
pallets/kensetsu/src/lib.rs,runtime/src/lib.rs,4,0.076923
pallets/multicollateral-bonding-curve-pool/src/lib.rs,pallets/pool-xyk/src/lib.rs,2,0.285714
pallets/multicollateral-bonding-curve-pool/src/lib.rs,runtime/src/lib.rs,3,0.061224
pallets/order-book/src/lib.rs,pallets/pool-xyk/src/lib.rs,3,0.428571
